id,host,target,tradition,source,x_s,candidate_sim,control_mean,control_std,control_max,control_min,pull_index,n_controls
AFR_001,Meskel,to hang with a rope (execution / political killing),Qene (Sem-ena-Werq),shogun,0.0,0.13566078603228934,0.05491278801096934,0.030195867254326776,0.09611812141019395,-0.01708408308277358,0.08074799802132,10
AFR_002,Hodam (glutton / fat stomach),corrupt ruling elites enriching themselves while the population starves,Qene (Sem-ena-Werq),shogun,0.0,0.15425035880990656,0.07838203215030223,0.016416619883092922,0.11295373490897907,0.05926795328567415,0.07586832665960433,10
AFR_003,fikir,deep insult or contempt for the recipient,Qene (Sem-ena-Werq),shogun,0.0,0.13625631990165465,0.0846113299338,0.030195287385774927,0.1253714648783099,0.05507232637468705,0.05164498996785466,10
AFR_004,Ojo,"birth with umbilical cord wrapped around the neck — a dangerous, potentially fatal event",Oríkì — birth-circumstance names (àmútọ̀runwá),shogun,0.0,0.09863652046666839,0.07717944612760244,0.014364296032970115,0.10589704380577969,0.06077931482655962,0.02145707433906595,10
AFR_005,Aje,"àjẹ̀ (àh-JEH, falling tone): witch / dangerous female spiritual power (Iyami)",Oríkì — tonal homophone (Yoruba tonal language),shogun,0.2,0.4964883900691837,0.33440791083450494,0.03880904218161846,0.41981984140568374,0.2755889108458635,0.16208047923467878,10
AFR_006,Ina ninu enu,Sango's divine anger; the danger of speaking his true name; the power to destroy with words,Oríkì — orisha praise poetry,shogun,0.1,0.19423525272557346,0.1758651336059513,0.014983956583939409,0.19488735956415582,0.15015173487110772,0.018370119119622164,10
AFR_007,Ose Sango,"dual divine nature: justice on one side, punishment/destruction on the other; also the god's capacity for both male and female force",Oríkì — divine object symbolism,shogun,0.5,0.2504279737339595,0.1320441039091324,0.054312637366759,0.24943377760155347,0.08061948160554372,0.11838386982482707,10
AFR_008,oriki idale,"implicit threat: the actions and failures being enumerated in the praise can shame the king into withdrawal, submission, or historically reported death",Oríkì — royal/political praise poetry,shogun,0.05,0.1290919391032634,0.12596531797128335,0.016212957425950216,0.15193504249561546,0.10635913997588275,0.003126621131980034,10
AFR_009,inkunzi,"the king / great warrior: virility, territorial conquest, reproductive/military dominance",Izibongo — Zulu praise poetry (royal),shogun,0.0,0.26421962804182164,0.1315040135645733,0.023713391155268562,0.19416783271748023,0.1046824912813433,0.13271561447724833,10
AFR_010,inkunzi engenazimpondo,"defeated enemies: militarily castrated, sexually humiliated, stripped of power",Izibongo — Zulu praise poetry (royal),shogun,0.45,0.16279896684661777,0.18110184177947053,0.00927467448156675,0.19411172402290583,0.1660140997382313,-0.018302874932852764,10
